tconst,originalTitle,year,genres,runtime,localised_title,averageRating,numVotes,overview,poster_path,production_countries,Actors,Directors,Writers,overview_fr
tt0059749,The Spy Who Came in from the Cold,1965,"Drama, Thriller",112,L'espion qui venait du froid,7.5,19249,"British agent Alec Leamas refuses to come in from the Cold War during the 1960s, choosing to face another mission, which may prove to be his final one.",/xroW2SrAAHwnel6yazC99xRW9R2.jpg,GB,"Richard Burton, Peter van Eyck, Claire Bloom, Rupert Davies, Oskar Werner, George Voskovec, Sam Wanamaker, Robert Hardy, Cyril Cusack, Michael Hordern",Martin Ritt,"['Guy Trosper', 'Paul Dehn', 'John le Carré']","L'agent britannique Alec Leamas refuse de venir de la guerre froide dans les années 1960, choisissant de faire face à une autre mission, qui peut s'avérer être sa dernière."
tt0059776,Szegénylegények,1966,"History, Drama, War",90,Les sans-espoir,7.5,3435,"After the failure of the Kossuth's revolution of 1848, people suspected of supporting the revolution are sent to prison camps. Years later, partisans led by outlaw Sándor Rózsa still run rampant. Although the authorities do not know the identities of the partisans, they round up suspects and try to root them out by any means necessary.",/7dCBle7ZTLXxvXLhVP96fmyE3wA.jpg,HU,"János Koltai, Tibor Molnár, András Kozák, János Görbe, Béla Barsi, Lajos Öze, József Madaras, Gábor Agárdi, Zoltán Latinovits, István Avar",Miklós Jancsó,['Gyula Hernádi'],"Après l'échec de la révolution de Kossuth en 1848, des gens soupçonnés de soutenir la révolution sont envoyés dans des camps de prisonniers. Des années plus tard, les partisans dirigés par Sándor Rózsa hors-la-loi sont toujours très nombreux."
tt0059797,Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 Hours and 11 Minutes,1965,"Adventure, Family, Comedy",138,Ces merveilleux fous volants dans leurs drôles de machines,7.0,9420,"In order to boost circulation of his newspaper, Lord Rawnsley announces an air race and offers £10,000 to the first person who can fly across the English Channel. But one of the participants, Percy, plots to sabotage his competitor's planes. Will Percy triumph?",/zENEIIKunpHygSfPR6zDtxuUHzB.jpg,GB,"Alberto Sordi, Jean-Pierre Cassel, Stuart Whitman, James Fox, Sarah Miles, Eric Sykes, Irina Demick, Red Skelton, Robert Morley, Gert Fröbe",Ken Annakin,"['Ken Annakin', 'Jack Davies']","Afin de stimuler la diffusion de son journal, Lord Rawnsley annonce une course aérienne et offre £10 000 à la première personne qui peut voler à travers la Manche. Mais l'un des participants, Percy, complote pour saboter les avions de son concurrent."
tt0059798,A Thousand Clowns,1965,"Drama, Romance, Comedy",118,Des clowns par milliers,7.3,3773,"Twelve-year-old Nick lives with his Uncle Murray, a Mr.Micawber-like Dickensian character who keeps hoping something won't turn up. What turns up is a social worker, who falls in love with Murray and a bit in love with Nick. As the child welfare people try to force Murray to become a conventional man (as the price they demand for allowing him to keep Nick), the nephew, who until now has gloried in his Uncle's iconoclastic approach to life, tries to play mediator. But when he succeeds, he is alarmed by the uncle's willingness to cave in to society in order to save the relationship.",/tXPsmtVy3T5Whz20LwiscprCdCT.jpg,US,"Barbara Harris, Garrett Cassell, Jason Robards, Barry Pearl, William Daniels, Martin Balsam, Barry Gordon, Gene Saks, Philip Bruns, John McMartin",Fred Coe,['Herb Gardner'],"Nick, âgé de douze ans, vit avec son oncle Murray, un personnage Dickensian semblable à M. Micawber qui continue d'espérer que quelque chose ne se produira pas. Ce qui s'avère être un travailleur social, qui tombe amoureux de Murray et un peu amoureux de Nick. Alors que les gens de la protection de l'enfance essaient de forcer Murray à devenir un homme conventionnel (comme le prix qu'ils exigent pour lui permettre de garder Nick), le neveu, qui jusqu'à présent a glori dans l'approche iconoclastique de son oncle, tente de jouer médiateur."
tt0059812,A tizedes meg a többiek,1965,"Comedy, War",111,Le Caporal et les autres,8.3,2831,"PFC Molnár decides his WWII services are over, and with serious money hidden in his hand grenades, he heads to an abandoned mansion where he encounters not only the sour butler but a bunch of others who also try to wimp out of their duties.",/7A7RWHC6ggtKtEpbKfa8E1UI253.jpg,HU,"Iván Darvas, Tivadar Horváth, György Pálos, László Márkus, László Ungváry, László Kozák, Imre Sinkovits, Tamás Major, Gyula Szabó, Lajos Cs. Németh",Márton Keleti,['Imre Dobozi'],"PFC Molnár décide que ses services de la Seconde Guerre mondiale sont terminés, et avec de l'argent sérieux caché dans ses grenades à main, il se dirige vers un manoir abandonné où il rencontre non seulement le majordome aigre mais un groupe d'autres qui essaient également de se défaire de leurs fonctions."
tt0059825,The Train,1964,"Thriller, War",133,Le train,7.8,19930,"As the Allied forces approach Paris in August 1944, German Colonel Von Waldheim is desperate to take all of France's greatest paintings to Germany. He manages to secure a train to transport the valuable art works even as the chaos of retreat descends upon them. The French resistance however wants to stop them from stealing their national treasures but have received orders from London that they are not to be destroyed. The station master, Labiche, is tasked with scheduling the train and making it all happen smoothly but he is also part of a dwindling group of resistance fighters tasked with preventing the theft. He and others stage an elaborate ruse to keep the train from ever leaving French territory.",/bzgPLB7efMohled42PIn6CcOTnO.jpg,"US, IT, FR","Albert Rémy, Michel Simon, Jeanne Moreau, Wolfgang Preiss, Suzanne Flon, Burt Lancaster, Paul Scofield, Richard Münch, Charles Millot, Jacques Marin",John Frankenheimer,"['Rose Valland', 'Frank Davis', 'Franklin Coen']","Alors que les forces alliées s'approchent de Paris en août 1944, le colonel allemand Von Waldheim veut désespérément emmener tous les plus grands tableaux de la France en Allemagne. Il parvient à s'assurer un train pour transporter les œuvres d'art de valeur, même lorsque le chaos de la retraite s'abat sur eux. La résistance française veut cependant les empêcher de voler leurs trésors nationaux, mais a reçu de Londres l'ordre de ne pas les détruire. Le capitaine de gare, Labiche, est chargé de planifier le train et de faire en sorte que tout se passe bien, mais il fait aussi partie d'un groupe de résistants en baisse chargé d'empêcher le vol. Lui et d'autres mettent en scène une ruse élaborée pour empêcher le train de quitter le territoire français."
tt0059855,Da nao tian gong,1961,"Action, Adventure, Animation",114,Le Roi des Singes contre l'Empire céleste,8.0,2503,"Sun Wukong, aka the Monkey King, rebels against the Jade Emperor of Heaven as well as other gods who live there.",/pzu3RFP6o42EZD0NT78t2eQUeTn.jpg,CN,"Yue-Feng Qiu, Guangning Liu, Povl Dissing, Ke Bi, Run-Sheng Fu, Hua Shang, Hans Alfredson",Wan Laiming,"['Wan Laiming', ""Cheng'en Wu"", 'Li Kuero']","Sun Wukong, alias le Roi Singe, se rebelle contre l'Empereur Jade du Ciel ainsi que d'autres dieux qui y vivent."
tt0059856,Vaghe stelle dell'Orsa...,1965,"Drama, Mystery",105,Vagues étoiles de la grande ourse,7.1,2306,"Sandra returns to her childhood village to take care of family business, but childhood memories and secrets soon overcome her.",/o2cgf2leCltLl2PIymECV94rE8C.jpg,IT,"Claudia Cardinale, Renzo Ricci, Jean Sorel, Vittorio Manfrino, Giovanni Rovini, Amalia Troiani, Renato Moretti, Michael Craig, Marie Bell, Fred Williams",Luchino Visconti,"['Luchino Visconti', ""Suso Cecchi D'Amico"", 'Enrico Medioli']","Sandra revient dans son village d'enfance pour s'occuper des affaires familiales, mais les souvenirs et les secrets d'enfance la surmontent bientôt."
tt0059884,Voyna i mir I: Andrey Bolkonskiy,1965,"Drama, War",147,Guerre et paix I: le prince André,8.2,2223,"The first film of a four-part adaptation of Leo Tolstoy’s 1869 novel. In St. Petersburg of 1805, Pierre Bezukhov, the illegitimate son of a rich nobleman, is introduced to high society. His friend, Prince Andrei Bolkonsky, joins the Imperial Russian Army as aide-de-camp of General Mikhail Kutuzov in the War of the Third Coalition against Napoleon.",/tpVXn1NQwL55llDnrkx79NfQrsl.jpg,SU,"Vyacheslav Tikhonov, Sergey Bondarchuk, Viktor Stanitsyn, Kira Golovko, Anatoli Ktorov, Lyudmila Saveleva, Irina Gubanova, Anastasiya Vertinskaya, Oleg Tabakov, Antonina Shuranova",Sergey Bondarchuk,"['Sergey Bondarchuk', 'Vasiliy Solovyov', 'Lev Tolstoy']","Le premier film d'une adaptation en quatre parties du roman de Leo Tolstoïs 1869. A Saint-Pétersbourg de 1805, Pierre Bezukhov, le fils illégitime d'un noble riche, est présenté à la haute société. Son ami, le prince Andrei Bolkonsky, rejoint l'armée impériale russe comme aide-de-camp du général Mikhail Kutuzov dans la guerre de la troisième coalition contre Napoléon."
tt0059885,Von Ryan's Express,1965,"Action, Adventure, War",117,L'express du colonel von Ryan,7.1,15474,"Von Ryan's Express stars Frank Sinatra as a POW colonel who leads a daring escape from WWII Italy by taking over a freight train, but he has to win over the British soldiers he finds himself commanding.",/kNIpEa4fe0RvgTqjkRrHFuSW8lz.jpg,US,"Trevor Howard, John Van Dreelen, Edward Mulhare, Wolfgang Preiss, Brad Dexter, Raffaella Carrà, Frank Sinatra, John Leyton, Sergio Fantoni, James Brolin",Mark Robson,"['Wendell Mayes', 'David Westheimer', 'Joseph Landon']","L'Express de Von Ryan met en vedette Frank Sinatra en tant que colonel POW qui mène une évasion audacieuse de la Seconde Guerre mondiale en prenant le contrôle d'un train de marchandises, mais il doit gagner les soldats britanniques qu'il se trouve en train de commander."
tt0059894,The War Game,1966,"Drama, War",48,La bombe,7.9,7500,"A docudrama depicting a hypothetical nuclear attack on Britain.  After backing the film's development, the BBC refused to air it, publicly stating ""the effect of the film has been judged by the BBC to be too horrifying for the medium of broadcasting."" It debuted in theaters in 1966 and went on to great acclaim, but remained unseen on British television until 1985.",/puJGNnrAPOv3BUMI9mKlCJp3UrQ.jpg,GB,"Michael Aspel, Kathy Staff, Peter Graham, Peter Watkins, Dave Baldwin",Peter Watkins,['Peter Watkins'],"Après avoir soutenu le développement du film, la BBC a refusé de le diffuser, déclarant publiquement que « l'effet du film a été jugé par la BBC trop horrifiant pour le moyen de diffusion ». Il a débuté dans les salles de cinéma en 1966 et est passé à de grands applaudissements, mais est resté invisible à la télévision britannique jusqu'en 1985."
tt0060086,Alfie,1966,"Drama, Comedy",114,Alfie le dragueur,7.0,16153,A young man leads a promiscuous lifestyle until several life reversals make him rethink his purposes and goals in life.,/tPUqgfGMkZazRZ1UO41j2Fiib5C.jpg,GB,"Eleanor Bron, Shelley Winters, Millicent Martin, Jane Asher, Alfie Bass, Shirley Anne Field, Vivien Merchant, Michael Caine, Julia Foster, Denholm Elliott",Lewis Gilbert,['Bill Naughton'],Un jeune homme mène un mode de vie promiscieux jusqu'à ce que plusieurs inversions de vie lui fassent repenser ses buts et objectifs dans la vie.
tt0060107,Andrey Rublyov,1966,"History, Biography, Drama",189,Andreï Roublev,8.0,58139,"An expansive Russian drama, this film focuses on the life of revered religious icon painter Andrei Rublev. Drifting from place to place in a tumultuous era, the peace-seeking monk eventually gains a reputation for his art. But after Rublev witnesses a brutal battle and unintentionally becomes involved, he takes a vow of silence and spends time away from his work. As he begins to ease his troubled soul, he takes steps towards becoming a painter once again.",/910xRIUmNJrWH2hkQifBJtoPp5R.jpg,SU,"Yuriy Nikulin, Nikolay Burlyaev, Nikolay Sergeev, Yuriy Nazarov, Ivan Lapikov, Anatoliy Solonitsyn, Rolan Bykov, Irma Tarkovskaya, Nikolay Grinko, Nikolay Grabbe",Andrei Tarkovsky,"['Andrey Konchalovskiy', 'Andrei Tarkovsky']","D'un grand drame russe, ce film met l'accent sur la vie du peintre d'icônes religieuses vénérées Andrei Rublev. Dérivant d'un endroit à un autre dans une ère tumultueuse, le moine qui cherche la paix finit par acquérir une réputation pour son art. Mais après que Rublev ait assisté à une bataille brutale et s'est involontairement impliqué, il fait voeu de silence et passe du temps loin de son travail."
tt0060125,L'armata Brancaleone,1966,"History, Adventure, Comedy",120,L'armée Brancaleone,7.7,5448,"A group of rogues steal a scroll granting its bearer the property of the land of Aurocastro in Apulia, a province in the south of Italy. They elect a shaggy knight, Brancaleone from Norcia, as their leader, and decide to get possession of this supposedly wealthy land. Many adventures will occurr during the journey.",/kE2y0wQ1GXSZd1AR6x8rQ27QwWy.jpg,"IT, FR","Pippo Starnazza, Carlo Pisacane, Alfio Caltabiano, Vittorio Gassman, Catherine Spaak, Folco Lulli, Maria Grazia Buccella, Gianluigi Crescenzi, Gian Maria Volontè, Ugo Fangareggi",Mario Monicelli,"['Agenore Incrocci', 'Mario Monicelli', 'Furio Scarpelli']","Un groupe de rogues volent un parchemin donnant à son porteur la propriété de la terre d'Aurocastro dans les Pouilles, une province du sud de l'Italie. Ils élisent un chevalier shaggy, Brancaleone de Norcia, comme leur chef, et décident d'obtenir la possession de cette terre soi-disant riche. De nombreuses aventures se produiront pendant le voyage."
tt0060138,Au hasard Balthazar,1966,Drama,95,Au hasard Balthazar,7.7,23512,"The story of a donkey Balthazar as he is passed from owner to owner, some kind and some cruel but all with motivations beyond his understanding. Balthazar, whose life parallels that of his first keeper, Marie, is truly a beast of burden, suffering the sins of humankind. But despite his powerlessness, he accepts his fate nobly.",/lkLO1HDzzaXpTXtAgnGpVqIQkvF.jpg,"FR, SE","François Lafarge, Jean-Joël Barbier, Walter Green, Philippe Asselin, Marie-Claire Frémont, Guy Renault, Anne Wiazemsky, Nathalie Joyaut, Jean-Claude Guilbert, Pierre Klossowski",Robert Bresson,['Robert Bresson'],"L'histoire d'un âne Balthazar comme il est passé de propriétaire à propriétaire, une sorte et quelques cruelles mais toutes avec des motivations au-delà de sa compréhension. Balthazar, dont la vie est parallèle à celle de son premier gardien, Marie, est vraiment une bête de fardeau, souffrant les péchés de l'humanité."
tt0060161,Beregis avtomobilya,1966,"Romance, Comedy, Crime",94,"Attention, automobile",8.0,6263,"An insurance agent who moonlights as a carthief steals cars various crooks and never from the common people. He sells the stolen cars and gives the money to charity. His best friend, a cop, is assigned to bring in this modern robin hood.",/tsfH6UnYq6WgjNIXCMlT7jwcsLk.jpg,SU,"Innokentiy Smoktunovskiy, Evgeniy Evstigneev, Sergey Kulagin, Tatyana Gavrilova, Olga Aroseva, Lyubov Dobrzhanskaya, Oleg Efremov, Anatoliy Papanov, Georgi Zhzhyonov, Andrey Mironov",Eldar Ryazanov,"['Eldar Ryazanov', 'Emil Braginskiy']","Un agent d'assurance qui au clair de lune comme un carthief vole des voitures diverses escrocs et jamais des gens ordinaires. Il vend les voitures volées et donne l'argent à la charité. Son meilleur ami, un flic, est chargé d'apporter dans ce capot moderne robin."
tt0060165,A Big Hand for the Little Lady,1966,Western,95,Gros coup à Dodge City,7.3,4847,"A naive traveler in Laredo gets involved in a poker game between the richest men in the area, jeopardizing all the money he has saved for the purpose of settling with his wife and child in San Antonio.",/cfLpJPfcg1XQtfymoiM2me4PScm.jpg,US,"Kevin McCarthy, Charles Bickford, Robert Middleton, Jean-Michel Michenaud, Jason Robards, Henry Fonda, Paul Ford, John Qualen, Burgess Meredith, Joanne Woodward",Fielder Cook,['Sidney Carroll'],"Un voyageur naïf à Laredo s'implique dans un jeu de poker entre les hommes les plus riches de la région, mettant en danger tout l'argent qu'il a économisé dans le but de s'installer avec sa femme et son enfant à San Antonio."
tt0060176,Blow-Up,1966,"Thriller, Drama, Mystery",111,Blow-Up,7.4,69372,"A successful mod photographer in London whose world is bounded by fashion, pop music, marijuana, and easy sex, feels his life is boring and despairing. But in the course of a single day he unknowingly captures a death on film.",/tiq3QOrJqlVlN8q6bJqVsTzKyrb.jpg,"US, IT, GB","Veruschka von Lehndorff, David Hemmings, Sarah Miles, John Castle, Julian Chagrin, Gillian Hills, Peter Bowles, Vanessa Redgrave, Claude Chagrin, Jane Birkin",Michelangelo Antonioni,"['Tonino Guerra', 'Julio Cortázar', 'Edward Bond', 'Michelangelo Antonioni']","Un photographe mod à Londres dont le monde est limité par la mode, la musique pop, la marijuana et le sexe facile, sent sa vie ennuyeuse et désespérée. Mais au cours d'un seul jour, il capture inconsciemment une mort sur film."
tt0060177,The Blue Max,1966,"Action, Romance, Drama",156,Le crépuscule des aigles,7.1,7835,"A young pilot in the German air force of 1918, disliked as lower-class and unchivalrous, tries ambitiously to earn the medal offered for 20 kills.",/nn1owtzqqn2xR05yQ8XMEsQf4NK.jpg,GB,"Derren Nesbitt, James Mason, Karl Michael Vogler, George Peppard, Derek Newark, Jeremy Kemp, Anton Diffring, Peter Woodthorpe, Harry Towb, Ursula Andress",John Guillermin,"['Basilio Franchina', 'Jack Hunter', 'David Pursall', 'Ben Barzman']","Un jeune pilote de l'armée de l'air allemande de 1918, détesté de la classe inférieure et peu chevaleresque, tente avec ambition de remporter la médaille offerte pour 20 morts."
tt0060182,Born Free,1966,"Adventure, Biography, Drama",95,Vivre libre,7.2,7191,"At a national park in Kenya, English game warden George Adamson and his wife, Joy, care for three orphaned lion cubs. After the two larger lions are shipped off to a zoo in the Netherlands, the smallest of the three, Elsa, stays with the couple. When Elsa is blamed for causing an elephant stampede in the nearby village, head warden John Kendall demands the young lion either be trained to survive in the wilds of the Serengeti or be sent to a zoo.",/40lDYu77179qcWLIKfTt5U3SCYH.jpg,"US, GB","Virginia McKenna, Omar Chambati, Bill Travers, Robert Cheetham, Geoffrey Keen, Bill Godden, Geoffrey Best, Bryan Epsom, Robert S. Young, Peter Lukoye",James Hill,"['Joy Adamson', 'Lester Cole']","Dans un parc national du Kenya, le gardien de chasse anglais George Adamson et sa femme, Joy, s'occupent de trois petits lions orphelins. Après que les deux plus gros lions soient expédiés dans un zoo aux Pays-Bas, le plus petit des trois, Elsa, reste avec le couple. Quand Elsa est accusé d'avoir causé un éléphant piétiné dans le village voisin, le gardien en chef John Kendall exige que le jeune lion soit formé pour survivre dans la nature du Serengeti ou être envoyé dans un zoo."
tt0060196,"Il buono, il brutto, il cattivo",1966,"Adventure, Drama, Western",178,"Le Bon, la Brute et le Truand",8.8,834603,"While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,"US, DE, IT, ES","Eli Wallach, Lee Van Cleef, Luigi Pistilli, Livio Lorenzon, Enzo Petito, Claudio Scarchilli, Rada Rassimov, John Bartha, Aldo Giuffrè, Clint Eastwood",Sergio Leone,"['Luciano Vincenzoni', 'Agenore Incrocci', 'Sergio Leone', 'Furio Scarpelli']","Alors que la guerre civile fait rage entre l'Union et la Confédération, trois hommes – un solitaire tranquille, un tueur impitoyable et un bandit mexicain – peignent le Sud-Ouest américain à la recherche d'une boîte forte contenant 200 000 $ en or volé."
tt0060223,La caza,1966,"Drama, Thriller",91,La chasse,7.5,2530,"Three veterans of the Spanish Civil War go rabbit hunting. While doing so, old wounds open up.",/2lODWq6rLdcb8hLuQpt9qHSAatW.jpg,ES,"María Sánchez Aroca, Violeta García, Fernando Sánchez Polack, Gene Wesson, Alfredo Mayo, José María Prada, Emilio Gutiérrez Caba, Ismael Merlo",Carlos Saura,"['Angelino Fons', 'Carlos Saura']","Trois vétérans de la guerre civile espagnole chassent les lapins, mais de vieilles blessures s'ouvrent."
tt0060232,The Chase,1966,"Thriller, Drama, Crime",134,La poursuite impitoyable,7.1,14062,The escape of Bubber Reeves from prison affects the inhabitants of a small Southern town.,/lpX8szjdzaXqxKBiV8xfRVNzSiu.jpg,US,"Miriam Hopkins, Martha Hyer, Janice Rule, Robert Duvall, Angie Dickinson, E.G. Marshall, Richard Bradford, Robert Redford, Jane Fonda, Marlon Brando",Arthur Penn,"['Horton Foote', 'Lillian Hellman']",L'évasion de Bubber Reeves de prison affecte les habitants d'une petite ville du sud.
tt0060268,Cul-de-sac,1966,"Drama, Comedy, Thriller",112,Cul-de-sac,7.0,14266,"A wounded criminal and his dying partner take refuge at an old beachfront fortress. The owner of the fortress and his young wife, initially unwilling hosts, quickly experience their relationship with the criminal shift in a humorous and bizarre fashion.",/vaKgOkt1O5rxCDnBqzlyq6rakDl.jpg,GB,"Françoise Dorléac, Iain Quarrier, William Franklyn, Renee Houston, Geoffrey Sumner, Jack MacGowran, Lionel Stander, Robert Dorning, Donald Pleasence, Marie Kean",Roman Polanski,"['Roman Polanski', 'Gérard Brach']","Un criminel blessé et son partenaire mourant se réfugient dans une vieille forteresse en bord de mer. Le propriétaire de la forteresse et sa jeune femme, d'abord des hôtes réticents, expérimentent rapidement leur relation avec le changement criminel d'une manière humoristique et bizarre."
tt0060277,Dai-bosatsu tôge,1966,"Action, Drama",120,Le sabre du mal,7.9,12412,"Ryunosuke, a gifted swordsman plying his trade during the turbulent final days of Shogunate rule, has no moral code and kills without remorse. It’s a way of life that leads to madness.",/2rjKGcXNo61Fjgzfiaf1h8CCVTF.jpg,JP,"Ichirô Nakatani, Kô Nishimura, Yûzô Kayama, Kei Satô, Michiyo Aratama, Kunie Tanaka, Yôko Naitô, Tatsuya Nakadai, Toshirô Mifune, Tadao Nakamaru",Kihachi Okamoto,"['Shinobu Hashimoto', 'Kaizan Nakazato']","Ryunosuke, un homme d'épée doué qui s'empare de son métier pendant les derniers jours tumultueux du règne de Shogunat, n'a pas de code moral et tue sans remords. C'est un mode de vie qui mène à la folie."
tt0060305,Le deuxième souffle,1966,"Drama, Crime",150,Le deuxième souffle,7.9,6986,"A gangster escapes jail and quickly makes plans to continue his criminal ways elsewhere, but a determined inspector is closing in.",/nfnlTw613z9tNm0Uur8Tg3g5L1R.jpg,FR,"Paul Frankeur, Pierre Zimmer, Denis Manuel, Marcel Bozzuffi, Michel Constantin, Raymond Pellegrin, Christine Fabréga, Jean Négroni, Paul Meurisse, Lino Ventura",Jean-Pierre Melville,"['José Giovanni', 'Jean-Pierre Melville']","Un gangster échappe à la prison et fait rapidement des plans pour continuer ses méthodes criminelles ailleurs, mais un inspecteur déterminé se rapproche."
tt0060315,Django,1966,"Action, Drama, Western",91,Django,7.2,31970,A coffin-dragging gunslinger and a half-breed prostitute become embroiled in a bitter feud between a merciless masked clan and a band of Mexican revolutionaries.,/vs4vieNstSEfbgLFEelXXOPvr6h.jpg,"ES, IT","Loredana Nusciak, Giovanni Ivan Scratuglia, Gino Pernice, Franco Nero, Rafael Albaicín, Ángel Álvarez, Simón Arriaga, Remo De Angelis, José Bódalo, José Canalejas",Sergio Corbucci,"['Sergio Corbucci', 'Franco Rossetti', 'Bruno Corbucci', 'Piero Vivarelli']",Un cercueil d'armes à feu et une prostituée à moitié-sang s'embrouillent dans une querelle amère entre un clan sans pitié masqué et une bande de révolutionnaires mexicains.
tt0060371,The Endless Summer,1966,"Sport, Documentary",95,L'été sans fin,7.6,6458,"Bruce Brown's The Endless Summer is one of the first and most influential surf movies of all time. The film documents American surfers Mike Hynson and Robert August as they travel the world during California’s winter (which, back in 1965 was off-season for surfing) in search of the perfect wave and ultimately, an endless summer.",/5W5uaqQ7NZTwoDMKO4AtdcahHex.jpg,US,"Terence Bullen, Michael Hynson, Robert August, Roy Crump, Bruce Brown",Bruce Brown,['Bruce Brown'],"Bruce Brown's The Endless Summer est l'un des premiers et des plus influents films de surf de tous les temps. Le film documente les surfeurs américains Mike Hynson et Robert August en voyageant dans le monde pendant l'hiver de Californie (qui, en 1965 était hors saison pour le surf) à la recherche de la vague parfaite et finalement, un été sans fin."
tt0060380,Esta Noite Encarnarei no Teu Cadáver,1967,Horror,108,"Cette nuit, je m'incarnerai dans ton cadavre",7.0,2236,"Coffin Joe is still looking for the perfect woman to give birth to a son of his, and, cleared of the past crimes in At Midnight I'll Take Your Soul, keeps terrorizing the people in his small town with his iconoclast and sadistic practices.",/oI1sj3noMxG21IPByWOPJcYFDhg.jpg,BR,"Geraldo Bueno, Antonio Fracari, Arlete Brazolin, Tania Mendonça, Paula Ramos, Tina Wohlers, José Mojica Marins, Jose Lobo, Nadia Freitas, Esmeralda Ruchel",José Mojica Marins,"['Aldenora De Sa Porto', 'José Mojica Marins']","Coffin Joe est toujours à la recherche de la femme parfaite pour donner naissance à un de ses fils, et, débarrassé des crimes passés dans A Midnight Je vais prendre votre âme, continue de terroriser les gens dans sa petite ville avec ses pratiques iconoclastes et sadiques."
tt0060390,Fahrenheit 451,1966,"Sci-Fi, Drama",112,Fahrenheit 451,7.2,46114,"In the future, the government maintains control of public opinion by outlawing literature and maintaining a group of enforcers, known as “firemen,” to perform the necessary book burnings. Fireman Montag begins to question the morality of his vocation…",/k2CTpexoS9MO9lKVFfnzwVdJuM.jpg,GB,"Alfie Bass, Jeremy Spenser, Gillian Aldam, Oskar Werner, Bee Duffell, Anton Diffring, Michael Balfour, Cyril Cusack, Alex Scott, Julie Christie",François Truffaut,"['François Truffaut', 'Jean-Louis Richard', 'Ray Bradbury']","À l'avenir, le gouvernement maintient le contrôle de l'opinion publique en interdisant la littérature et en maintenant un groupe d'exécuteurs, connus sous le nom de ""pompiers"", pour effectuer les brûlages nécessaires du livre. Fireman Montag commence à remettre en question la moralité de sa vocation..."
tt0060401,Faraon,1966,"History, Adventure, Drama",180,Le Pharaon,7.3,2396,"Young Pharaoh Ramses XIII clashes with Egypt's clergy over influence on the affairs of the state and its coffers. inexperienced, but quite ambitious pharaoh is putting up a fight against a powerful clan of priests usurping rule over the country.",/8ipkoxt3yvYeLuHfxPhaRaQCgwX.jpg,PL,"Leszek Herdegen, Mieczyslaw Voit, Kazimierz Opalinski, Jerzy Zelnik, Piotr Pawlowski, Stanislaw Milski, Krystyna Mikolajewska, Wieslawa Mazurkiewicz, Ewa Krzyzewska, Barbara Brylska",Jerzy Kawalerowicz,"['Jerzy Kawalerowicz', 'Boleslaw Prus', 'Tadeusz Konwicki']","Le jeune Pharaon Ramsès XIII s'oppose au clergé égyptien sur l'influence sur les affaires de l'État et de ses coffres. inexpérimenté, mais assez ambitieux pharaon met en place une lutte contre un puissant clan de prêtres usurpant la domination sur le pays."
tt0060420,"Follow Me, Boys!",1966,"Family, Drama",131,Demain... des hommes,7.1,2661,"Lem Siddons is part of a traveling band who has a dream of becoming a lawyer. Deciding to settle down, he finds a job as a stockboy in the general store of a small town. Trying to fit in, he volunteers to become scoutmaster of the newly formed Troop 1. Becoming more and more involved with the scout troop, he finds his plans to become a lawyer being put on the back burner, until he realizes that his life has been fulfilled helping the youth of the small town.",/yM5WgOJNxW2eXqZVYDZeHF5OzfW.jpg,US,"Ken Murray, Kurt Russell, Sean McClory, Elliott Reid, Donald May, Lillian Gish, Vera Miles, Charles Ruggles, Luana Patten, Fred MacMurray",Norman Tokar,"['MacKinlay Kantor', 'Louis Pelletier']","Lem Siddons fait partie d'un groupe itinérant qui rêve de devenir avocat. Décidant de s'installer, il trouve un emploi de magasinier dans le magasin général d'une petite ville. Tentant de s'intégrer, il se porte volontaire pour devenir scoutmaster de la troupe nouvellement formée 1. Devenant de plus en plus impliqué dans la troupe scout, il trouve son projet de devenir avocat mis sur le brûleur arrière, jusqu'à ce qu'il réalise que sa vie a été accomplie aidant la jeunesse de la petite ville."
tt0060424,The Fortune Cookie,1966,"Romance, Comedy",125,La grande combine,7.2,15928,"A cameraman is knocked over during a football game. His brother-in-law, as the king of the ambulance-chasing lawyers, starts a suit while he's still knocked out. The cameraman is against it until he hears that his ex-wife will be coming to see him. He pretends to be injured to get her back, but also sees what the strain is doing to the football player who injured him.",/tGZc0sRoXgGzRDhHaCRmqxNSKVZ.jpg,US,"Jack Lemmon, Marge Redmond, Lauren Gilbert, Harry Holcombe, Ron Rich, Judi West, Walter Matthau, Cliff Osmond, Les Tremayne, Lurene Tuttle",Billy Wilder,"['Billy Wilder', 'I.A.L. Diamond']","Un cameraman est frappé lors d'un match de football. Son beau-frère, en tant que roi des avocats en quête d'ambulance, commence un costume pendant qu'il est encore frappé. Le cameraman est contre jusqu'à ce qu'il entende que son ex-femme viendra le voir. Il prétend être blessé pour la récupérer, mais voit également ce que la tension fait au joueur de football qui l'a blessé."
